guid,category,partition_type
00000000-0000-0000-0000-000000000000,general,"Unused entry"
024DEE41-33E7-11D3-9D69-0008C781F39F,general,"MBR partition scheme"
C12A7328-F81F-11D2-BA4B-00A0C93EC93B,general,"EFI System partition"
21686148-6449-6E6F-744E-656564454649,general,"BIOS boot partition"
D3BFE2DE-3DAF-11DF-BA40-E3A556D89593,general,"Intel Fast Flash (iFFS) partition (for Intel Rapid Start technology)"
F4019732-066E-4E12-8273-346C5641494F,general,"Sony boot partition"
BFBFAFE7-A34F-448A-9A5B-6213EB736C22,general,"Lenovo boot partition"
E3C9E316-0B5C-4DB8-817D-F92DF00215AE,windows,"Microsoft Reserved Partition (MSR)"
EBD0A0A2-B9E5-4433-87C0-68B6B72699C7,windows,"Basic data partition"
5808C8AA-7E8F-42E0-85D2-E1E90434CFB3,windows,"Logical Disk Manager (LDM) metadata partition"
AF9B60A0-1431-4F62-BC68-3311714A69AD,windows,"Logical Disk Manager data partition"
DE94BBA4-06D1-4D40-A16A-BFD50179D6AC,windows,"Windows Recovery Environment"
37AFFC90-EF7D-4E96-91C3-2D7AE055B174,windows,"IBM General Parallel File System (GPFS) partition"
E75CAF8F-F680-4CEE-AFA3-B001E56EFC2D,windows,"Storage Spaces partition"
558D43C5-A1AC-43C0-AAC8-D1472B2923D1,windows,"Storage Replica partition"
75894C1E-3AEB-11D3-B7C1-7B03A0000000,HP-UX,"Data partition"
E2A1E728-32E3-11D6-A682-7B03A0000000,HP-UX,"Service partition"
0FC63DAF-8483-4772-8E79-3D69D8477DE4,linux,"Linux filesystem data"
A19D880F-05FC-4D3B-A006-743F0F84911E,linux,"RAID partition"
44479540-F297-41B2-9AF7-D131D5F0458A,linux,"Root partition (x86)"
4F68BCE3-E8CD-4DB1-96E7-FBCAF984B709,linux,"Root partition (x86-64)"
69DAD710-2CE4-4E3C-B16C-21A1D49ABED3,linux,"Root partition (32-bit ARM)"
B921B045-1DF0-41C3-AF44-4C6F280D3FAE,linux,"Root partition (64-bit ARM/AArch64)"
BC13C2FF-59E6-4262-A352-B275FD6F7172,linux,"/boot partition"
0657FD6D-A4AB-43C4-84E5-0933C84B4F4F,linux,"Swap partition"
E6D6D379-F507-44C2-A23C-238F2A3DF928,linux,"Logical Volume Manager (LVM) partition"
933AC7E1-2EB4-4F13-B844-0E14E2AEF915,linux,"/home partition"
3B8F8425-20E0-4F3B-907F-1A25A76F98E8,linux,"/srv (server data) partition"
7FFEC5C9-2D00-49B7-8941-3EA10A5586B7,linux,"Plain dm-crypt partition"
CA7D7CCB-63ED-4C53-861C-1742536059CC,linux,"LUKS partition"
8DA63339-0007-60C0-C436-083AC8230908,linux,"Reserved"
83BD6B9D-7F41-11DC-BE0B-001560B84F0F,freebsd,"Boot partition"
516E7CB4-6ECF-11D6-8FF8-00022D09712B,freebsd,"Data partition"
516E7CB5-6ECF-11D6-8FF8-00022D09712B,freebsd,"Swap partition"
516E7CB6-6ECF-11D6-8FF8-00022D09712B,freebsd,"Unix File System (UFS) partition"
516E7CB8-6ECF-11D6-8FF8-00022D09712B,freebsd,"Vinum volume manager partition"
516E7CBA-6ECF-11D6-8FF8-00022D09712B,freebsd,"ZFS partition"
48465300-0000-11AA-AA11-00306543ECAC,macos_darwin,"Hierarchical File System Plus (HFS+) partition"
7C3457EF-0000-11AA-AA11-00306543ECAC,macos_darwin,"APFS FileVault volume container"
55465300-0000-11AA-AA11-00306543ECAC,macos_darwin,"Apple UFS container"
6A898CC3-1DD2-11B2-99A6-080020736631,macos_darwin,"ZFS"
52414944-0000-11AA-AA11-00306543ECAC,macos_darwin,"Apple RAID partition"
52414944-5F4F-11AA-AA11-00306543ECAC,macos_darwin,"Apple RAID partition, offline"
426F6F74-0000-11AA-AA11-00306543ECAC,macos_darwin,"Apple Boot partition (Recovery HD)"
4C616265-6C00-11AA-AA11-00306543ECAC,macos_darwin,"Apple Label"
5265636F-7665-11AA-AA11-00306543ECAC,macos_darwin,"Apple TV Recovery partition"
53746F72-6167-11AA-AA11-00306543ECAC,macos_darwin,"HFS+ FileVault volume container"
B6FA30DA-92D2-4A9A-96F1-871EC6486200,macos_darwin,"SoftRAID_Status"
2E313465-19B9-463F-8126-8A7993773801,macos_darwin,"SoftRAID_Scratch"
FA709C7E-65B1-4593-BFD5-E71D61DE9B02,macos_darwin,"SoftRAID_Volume"
BBBA6DF5-F46F-4A89-8F59-8765B2727503,macos_darwin,"SoftRAID_Cache"
6A82CB45-1DD2-11B2-99A6-080020736631,solaris_illumos,"Boot partition"
6A85CF4D-1DD2-11B2-99A6-080020736631,solaris_illumos,"Root partition"
6A87C46F-1DD2-11B2-99A6-080020736631,solaris_illumos,"Swap partition"
6A8B642B-1DD2-11B2-99A6-080020736631,solaris_illumos,"Backup partition"
6A898CC3-1DD2-11B2-99A6-080020736631,solaris_illumos,"/usr partition"
6A8EF2E9-1DD2-11B2-99A6-080020736631,solaris_illumos,"/var partition"
6A90BA39-1DD2-11B2-99A6-080020736631,solaris_illumos,"/home partition"
6A9283A5-1DD2-11B2-99A6-080020736631,solaris_illumos,"Alternate sector"
6A945A3B-1DD2-11B2-99A6-080020736631,solaris_illumos,"Reserved partition"
6A9630D1-1DD2-11B2-99A6-080020736631,solaris_illumos,"none"
6A980767-1DD2-11B2-99A6-080020736631,solaris_illumos,"none"
6A96237F-1DD2-11B2-99A6-080020736631,solaris_illumos,"none"
6A8D2AC7-1DD2-11B2-99A6-080020736631,solaris_illumos,"none"
49F48D32-B10E-11DC-B99B-0019D1879648,netbsd,"Swap partition"
49F48D5A-B10E-11DC-B99B-0019D1879648,netbsd,"FFS partition"
49F48D82-B10E-11DC-B99B-0019D1879648,netbsd,"LFS partition"
49F48DAA-B10E-11DC-B99B-0019D1879648,netbsd,"RAID partition"
2DB519C4-B10F-11DC-B99B-0019D1879648,netbsd,"Concatenated partition"
2DB519EC-B10F-11DC-B99B-0019D1879648,netbsd,"Encrypted partition"
FE3A2A5D-4F32-41A7-B725-ACCC3285A309,chrome_os,"Chrome OS kernel"
3CB8E202-3B7E-47DD-8A3C-7FF2A13CFCEC,chrome_os,"Chrome OS rootfs"
2E0A753D-9E48-43B0-8337-B15192CB1B5E,chrome_os,"Chrome OS future use"
5DFBF5F4-2848-4BAC-AA5E-0D9A20B745A6,container_linux_coreos,"/usr partition (coreos-usr)"
3884DD41-8582-4404-B9A8-E9B84F2DF50E,container_linux_coreos,"Resizable rootfs (coreos-resize)"
C95DC21A-DF0E-4340-8D7B-26CBFA9A03E0,container_linux_coreos,"OEM customizations (coreos-reserved)"
BE9067B9-EA49-4F15-B4F6-F36F8C9E1818,container_linux_coreos,"Root filesystem on RAID (coreos-root-raid)"
42465331-3BA3-10F1-802A-4861696B7521,haiku,"Haiku BFS"
85D5E45E-237C-11E1-B4B3-E89A8F7FC3A7,midnightbsd,"Boot partition"
85D5E45A-237C-11E1-B4B3-E89A8F7FC3A7,midnightbsd,"Data partition"
85D5E45B-237C-11E1-B4B3-E89A8F7FC3A7,midnightbsd,"Swap partition"
0394EF8B-237E-11E1-B4B3-E89A8F7FC3A7,midnightbsd,"Unix File System (UFS) partition"
85D5E45C-237C-11E1-B4B3-E89A8F7FC3A7,midnightbsd,"Vinum volume manager partition"
85D5E45D-237C-11E1-B4B3-E89A8F7FC3A7,midnightbsd,"ZFS partition"
45B0969E-9B03-4F30-B4C6-B4B80CEFF106,ceph,"Journal"
45B0969E-9B03-4F30-B4C6-5EC00CEFF106,ceph,"dm-crypt journal"
4FBD7E29-9D25-41B8-AFD0-062C0CEFF05D,ceph,"OSD"
4FBD7E29-9D25-41B8-AFD0-5EC00CEFF05D,ceph,"dm-crypt OSD"
89C57F98-2FE5-4DC0-89C1-F3AD0CEFF2BE,ceph,"Disk in creation"
89C57F98-2FE5-4DC0-89C1-5EC00CEFF2BE,ceph,"dm-crypt disk in creation"
CAFECAFE-9B03-4F30-B4C6-B4B80CEFF106,ceph,"Block"
30CD0809-C2B2-499C-8879-2D6B78529876,ceph,"Block DB"
5CE17FCE-4087-4169-B7FF-056CC58473F9,ceph,"Block write-ahead log"
FB3AABF9-D25F-47CC-BF5E-721D1816496B,ceph,"Lockbox for dm-crypt keys"
4FBD7E29-8AE0-4982-BF9D-5A8D867AF560,ceph,"Multipath OSD"
45B0969E-8AE0-4982-BF9D-5A8D867AF560,ceph,"Multipath journal"
CAFECAFE-8AE0-4982-BF9D-5A8D867AF560,ceph,"Multipath block"
7F4A666A-16F3-47A2-8445-152EF4D03F6C,ceph,"Multipath block"
EC6D6385-E346-45DC-BE91-DA2A7C8B3261,ceph,"Multipath block DB"
01B41E1B-002A-453C-9F17-88793989FF8F,ceph,"Multipath block write-ahead log"
CAFECAFE-9B03-4F30-B4C6-5EC00CEFF106,ceph,"dm-crypt block"
93B0052D-02D9-4D8A-A43B-33A3EE4DFBC3,ceph,"dm-crypt block DB"
306E8683-4FE2-4330-B7C0-00A917C16966,ceph,"dm-crypt block write-ahead log"
45B0969E-9B03-4F30-B4C6-35865CEFF106,ceph,"dm-crypt LUKS journal"
CAFECAFE-9B03-4F30-B4C6-35865CEFF106,ceph,"dm-crypt LUKS block"
166418DA-C469-4022-ADF4-B30AFD37F176,ceph,"dm-crypt LUKS block DB"
86A32090-3647-40B9-BBBD-38D8C573AA86,ceph,"dm-crypt LUKS block write-ahead log"
4FBD7E29-9D25-41B8-AFD0-35865CEFF05D,ceph,"dm-crypt LUKS OSD"
824CC7A0-36A8-11E3-890A-952519AD3F61,openbsd,"Data partition"
CEF5A9AD-73BC-4601-89F3-CDEEEEE321A1,qnx,"Power-safe (QNX6) file system"
C91818F9-8025-47AF-89D2-F030D7000C2C,plan_9,"Plan 9 partition"
9D275380-40AD-11DB-BF97-000C2911D1B8,vmware_esx,"vmkcore (coredump partition)"
AA31E02A-400F-11DB-9590-000C2911D1B8,vmware_esx,"VMFS filesystem partition"
9198EFFC-31C0-11DB-8F78-000C2911D1B8,vmware_esx,"VMware Reserved"
2568845D-2332-4675-BC39-8FA5A4748D15,android-ia,"Bootloader"
114EAFFE-1552-4022-B26E-9B053604CF84,android-ia,"Bootloader2"
49A4D17F-93A3-45C1-A0DE-F50B2EBE2599,android-ia,"Boot"
4177C722-9E92-4AAB-8644-43502BFD5506,android-ia,"Recovery"
EF32A33B-A409-486C-9141-9FFB711F6266,android-ia,"Misc"
20AC26BE-20B7-11E3-84C5-6CFDB94711E9,android-ia,"Metadata"
38F428E6-D326-425D-9140-6E0EA133647C,android-ia,"System"
A893EF21-E428-470A-9E55-0668FD91A2D9,android-ia,"Cache"
DC76DDA9-5AC1-491C-AF42-A82591580C0D,android-ia,"Data"
EBC597D0-2053-4B15-8B64-E0AAC75F4DB1,android-ia,"Persistent"
C5A0AEEC-13EA-11E5-A1B1-001E67CA0C3C,android-ia,"Vendor"
BD59408B-4514-490D-BF12-9878D963F378,android-ia,"Config"
8F68CC74-C5E5-48DA-BE91-A0C8C15E9C80,android-ia,"Factory"
9FDAA6EF-4B3F-40D2-BA8D-BFF16BFB887B,android-ia,"Factory (alt)"
767941D0-2085-11E3-AD3B-6CFDB94711E9,android-ia,"Fastboot / Tertiary"
AC6D7924-EB71-4DF8-B48D-E267B27148FF,android-ia,"OEM"
19A710A2-B3CA-11E4-B026-10604B889DCF,android_6.0+_arm,"Android Meta"
193D1EA4-B3CA-11E4-B075-10604B889DCF,android_6.0+_arm,"Android EXT"
7412F7D5-A156-4B13-81DC-867174929325,onie,"Boot"
D4E6E2CD-4469-46F3-B5CB-1BFF57AFC149,onie,"Config"
9E1A2D38-C612-4316-AA26-8B49521E5A8B,powerpc,"PReP boot"
BC13C2FF-59E6-4262-A352-B275FD6F7172,freedesktop.org,"Shared boot loader configuration"
734E5AFE-F61A-11E6-BC64-92361F002671,atari_tos,"Basic data partition (GEM, BGM, F32)"
8C8F8EFF-AC95-4770-814A-21994F2DBC8F,veracrypt,"Encrypted data partition"